,store,sido,gungu,store_address
1016,하북점,경기도,평택시,경기도 평택시 진위면 하북4길 3
1017,하성점,경기도,김포시,경기도 김포시 하성면 애기봉로806번길 67
1018,하소동점,충청북도,제천시,충청북도 제천시 용두대로21길 9(하소동)
1019,하안1점,경기도,광명시,"경기도 광명시 안현로 19(하안동, 단지상가 111호)"
1020,하안5점,경기도,광명시,경기도 광명시 가림로 38
1021,하안7점,경기도,광명시,경기도 광명시 금당로 11-24
1022,하안9점,경기도,광명시,경기도 광명시 안현로 51
1023,학다리점,강원도,홍천군,강원도 홍천군  홍천읍 꽃뫼로 120
1024,학성점,강원도,원주시,강원도 원주시 천사로 164(일산동)
1025,학익점,인천광역시,미추홀구,인천광역시 미추홀구 한나루로 465
1026,학장점,부산광역시,사상구,부산광역시 사상구 학감대로 129
1027,한대역점,경기도,안산시상록구,"경기도 안산시상록구 용신로 246, 101호"
1028,한림점,제주특별자치도,제주시,제주특별자치도 제주시 한림중앙로 3-1
1029,한솔새롬점,세종특별자치시,새롬북로,세종특별자치시  새롬북로 13
1030,한신점,인천광역시,서구,인천광역시 서구 서곶로 12 한신종합상가 208호
1031,한아름점,경기도,부천시원미구,경기도 부천시원미구 부흥로 100
1032,한주점,경기도,의정부시,경기도 의정부시 평화로322번길 18(호원동)
1033,함백점,강원도,정선군,강원도 정선군  신동읍 함백로 319
1034,함양점,경상남도,함양군,경상남도 함양군 함양읍 용평길 5
1035,함평점,전라남도,함평군,전라남도 함평군 함평읍 광남길 83
1036,합덕점,충청남도,당진시,충청남도 당진시 합덕읍 합덕시장로 176
1037,합정동점,서울특별시,마포구,서울특별시 마포구 포은로 52(합정동)
1038,해남점,전라남도,해남군,전라남도 해남군 해남읍 중앙1로 98
1039,해미점,충청남도,서산시,충청남도 서산시 해미면 남문5로 4
1040,해방촌점,서울특별시,용산구,서울특별시 용산구 소월로20길 28-1
1041,해운대좌동주공2,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 118 주공2단지 분산상가 나-105
1042,행당동점,서울특별시,성동구,"서울특별시 성동구 행당로 119 (행당동,1층)"
1043,향남점,경기도,화성시,경기도 화성시 향남읍 향남로 430-16
1044,혁신점,강원도,원주시,"강원도 원주시 건강로 17-3, 101호(반곡동 치악프라자)"
1045,혁신점(충북),충청북도,진천군,"충청북도 진천군 덕산읍 시가로 46,  113호"
1046,현리점,경기도,가평군,"경기도 가평군 조종면 현창로 50, 1층"
1047,호계사거리점,경기도,안양시동안구,경기도 안양시동안구 경수대로507번 13
1048,호원점,경기도,의정부시,경기도 의정부시 신흥로 119번길 54
1049,홍도점,대전광역시,동구,대전광역시 동구 홍도로 20
1050,홍성2점,충청남도,홍성군,충청남도 홍성군 홍성읍 조양로 190
1051,홍성주공점,충청남도,홍성군,충청남도 홍성군 홍성읍 문화로72번길 92
1052,홍은동점,서울특별시,서대문구,서울특별시 서대문구 모래내로 364(홍은동)
1053,홍익대점,서울특별시,마포구,"서울특별시 마포구 독막로22길 21, 1층101호(창전동)"
1054,홍익점,경기도,안성시,경기도 안성시 금광면 종합운동장로 132
1055,화곡1점,서울특별시,강서구,"서울특별시 강서구 월정로28길 28, 1층4호 (화곡동)"
1056,화봉.연암점,울산광역시,북구,울산광역시 북구 송내1길 18(화봉동)
1057,화서점,경기도,수원시팔달구,경기도 수원시팔달구 팔달로127번길 16-4(화서동)
1058,화성마도점,경기도,화성시,경기도 화성시 마도면 석교로 171
1059,화성시청점,경기도,화성시,경기도 화성시 남양읍 역골로 3-20 
1060,화순점,전라남도,화순군,전라남도 화순군 화순읍 광덕로 142
1061,화양동점,서울특별시,광진구,"서울특별시 광진구 능동로13길 70(화양동, 1층)"
1062,화원점,대구광역시,달성군,대구광역시 달성군 화원읍 성암로 16-38
1063,화천점,강원도,화천군,강원도 화천군  화천읍 중앙로4 13-10
1064,환호점,경상북도,포항시북구,경상북도 포항시북구 삼호로 458
1065,황간점,충청북도,영동군,충청북도 영동군 황간면 남성1길 3
1066,황성점,경상북도,경주시,경상북도 경주시 용담로92번길 43-4
1067,황제점,대구광역시,서구,대구광역시 서구 서대구로8길 58
1068,회원교방점,경상남도,창원시마산회원구,경상남도 창원시마산회원구 회원남로 39-1
